PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Meta description,H1,H2,No. of content words,No. of internal outlinks,No. of external outlinks,Page text,Extracted text (raw <body>) (length),Text hash,First found at
40,https://westmountfundamentals.com/,Westmount Fundamentals,text/html; charset=utf-8,false,200,0,true,"Westmount Fundamentals — tools, guides, studies, and resources.",Westmount Fundamentals,"Calculators & Tools
Research & Analysis
Guides & Explainers
Lists & Rankings",7087,259,1,<truncated>,45768,16046841681775413229,
22,https://westmountfundamentals.com/stock-split-calculator,Stock Split Calculator & Guide: How Forward and Reverse Splits Work,text/html; charset=utf-8,false,200,0,true,Calculate your new share count and price after a stock split. See how forward and reverse splits impact your portfolio value—and why companies do them.,Stock Split Calculator,"Split Parameters
Post-Split Results
What is a Stock Split?
Forward Splits vs. Reverse Splits
Notable Historical Stock Splits
Do Stock Splits Affect Options Contracts?
Frequently Asked Questions",1593,4,1,<truncated>,9667,17359406097989453287,
20,https://westmountfundamentals.com/what-is-dividend-income,What Is Dividend Income? The Ultimate Guide for 2026,text/html; charset=utf-8,false,200,0,true,"They say it's the closest thing to ""passive income"" in the stock market—but what exactly is dividend income, and how does it quietly build wealth while you sleep?",What Is Dividend Income? The Definitive Guide,"Introduction: The Magic of Getting Paid to Wait
The Core Definition: What Exactly Is Dividend Income?
How Dividend Income Works in Practice: The Timeline
Real-World Examples: Apple, Microsoft, and Johnson & Johnson
The Power of Dividend Yield and Yield on Cost
Pros and Cons of Dividend Income
Common Misconceptions About Dividend Income
Advanced Insights: What Experienced Investors Look For
Conclusion: Building a Snowball of Wealth
Dividend Yield Calculator",2680,9,1,<truncated>,16388,17212621122007665084,
20,https://westmountfundamentals.com/dividend-definition,Dividend Definition: The Definitive Guide to Getting Paid to Invest,text/html; charset=utf-8,false,200,0,true,"Unlock the true definition of a dividend. Learn how payouts work, see real-world examples from top companies, and discover what the pros know about maximizing returns.",Dividend Definition: The Definitive Guide to Getting Paid to Invest,"The Core Dividend Definition: A Jargon-Free Explanation
How Dividends Actually Work in Practice: Beyond the Theory
Real Examples: The Numbers Behind the Giants
Step-by-Step: Building Wealth with Dividends
Pros, Cons, and Common Misconceptions
What Experienced Investors Know That Beginners Don't
The Definitive Resource
Frequently Asked Questions About the Dividend Definition",2343,9,1,<truncated>,14585,16283997002492928278,
20,https://westmountfundamentals.com/options-profit-calculator,Options Profit Calculator,text/html; charset=utf-8,false,200,0,true,"Stop guessing your breakeven. Enter your options trade to instantly see exact maximum profit, loss limits, and a payoff chart matrix before you risk a dollar.",Options Profit Calculator,"Understanding the Options Profit Calculator and Your Payoff Matrix
Frequently Asked Questions
Related Financial Calculators and Guides",3495,8,1,<truncated>,22290,14347077818438324861,
20,https://westmountfundamentals.com/how-to-buy-stocks,How to Buy Stocks: A Complete Guide for Beginners,text/html; charset=utf-8,false,200,0,true,Want to own a piece of Apple or Microsoft but don't know where to start? Discover the exact 5-step process professionals use to buy their first shares...,How to Buy Stocks: The Definitive Beginner's Guide,"What Does It Mean to ""Buy a Stock""?
The 5-Step Process to Buying Stocks
What Experienced Investors Know (That Beginners Don't)
The Reality of Day Trading vs. Investing
Decoding Financial Statements: The Heartbeat of a Business
Understanding Market Cycles: Bull and Bear Markets
Sector Analysis: Where to Put Your Money
Advanced Concepts: Options, Margin, and Short Selling
The Ultimate Mental Framework for Beginners
Common Mistakes to Avoid
Next Steps
Frequently Asked Questions",4044,8,1,<truncated>,24008,17477851597555296246,
20,https://westmountfundamentals.com/options-vs-stocks,Options vs Stocks: The Definitive Guide for Investors,text/html; charset=utf-8,false,200,0,true,"Options and stocks both offer ways to invest in the market, but one provides significantly more leverage — at a steep cost. Here's what experienced investors know that beginners don't.",Options vs Stocks: A Practical Guide for Investors,"1. The Fundamental Mechanics
2. A Real-World Example: Apple (AAPL)
3. The Pros and Cons
4. Common Misconceptions
5. What Experienced Investors Know
6. Options vs Stocks: Which is Right For You?
Conclusion",1689,8,1,<truncated>,10650,15286577955541988190,
20,https://westmountfundamentals.com/coming-soon,,text/html; charset=utf-8,false,404,0,false,,,,0,0,0,,,,https://westmountfundamentals.com/
20,https://westmountfundamentals.com/stock-options-calculator,Stock Options Calculator | Option Pricing & Value,text/html; charset=utf-8,false,200,0,true,"Calculate the exact intrinsic value, time value, and profit potential of any call or put option. See how strike price and premiums impact your true breakeven.",Stock Options Calculator,Understanding Stock Options,1062,8,1,<truncated>,6602,2706964015007154419,
20,https://westmountfundamentals.com/sp500-investment-calculator,S&P 500 Investment Calculator | See Your True Compound Growth,text/html; charset=utf-8,false,200,0,true,Wondering how much $500 a month in the S&P 500 could turn into over 20 years? The math behind market returns might completely change your retirement timeline.,S&P 500 Investment Calculator,"Understanding the S&P 500 and Compound Interest
Real vs. Nominal Returns: Factoring in Inflation
When Should You Use an S&P 500 Calculator?
Common Mistakes to Avoid
Practical Tips for S&P 500 Investors
Frequently Asked Questions",1504,7,1,<truncated>,9352,3474653074866128474,
