Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,No. of dofollow inlinks to target,No. of nofollow inlinks to target,Is source canonical,Is source noindex,Is target canonical,Is target noindex,Is link internal
Href link,false,https://westmountfundamentals.com/,200,https://westmountfundamentals.com/list-best-all-in-one-etfs-canada-2026,200,"📈 Best All-in-One ETFs in Canada 2026 Discover the best all-in-one ETFs in Canada for 2026. Compare top asset allocation funds like VGRO, VEQT, XGRO, and…",1,0,true,false,true,false,true
Href link,false,https://westmountfundamentals.com/,200,https://westmountfundamentals.com/dividend-aristocrats-analysis-2026,200,"Dividend Aristocrats Analysis 2026: Yield, Payout & Growth 68 companies have raised dividends for 25+ consecutive years. But not all Aristocrats are created equal — some yield 5x more than others.",1,0,true,false,true,false,true
Href link,false,https://westmountfundamentals.com/,200,https://westmountfundamentals.com/vcsh-etf-review-2026,200,"📈 VCSH ETF Review: Vanguard Short-Term Corp Bond Complete review of Vanguard Short-Term Corporate Bond ETF (VCSH). Covers expense ratio, yield, duration, vs IGSB &…",1,0,true,false,true,false,true
Href link,false,https://westmountfundamentals.com/,200,https://westmountfundamentals.com/schb-etf-review-2026,200,"📈 SCHB ETF Review: Schwab US Broad Market (2026) Complete review of SCHB ETF. Discover its 0.03% expense ratio, top holdings, performance vs VTI, and if it's the best…",1,0,true,false,true,false,true
Href link,false,https://westmountfundamentals.com/,200,https://westmountfundamentals.com/stocks-to-invest-in,200,"📈 Stocks to Invest In: A Comprehensive Guide for 2025 and 2026 Are you looking for the next big market driver? Uncover the emerging sectors, resilient blue-chips, and thematic stocks…",1,0,true,false,true,false,true
Href link,false,https://westmountfundamentals.com/,200,https://westmountfundamentals.com/list-highest-dividend-yield-stocks-2026,200,"💰 50 Highest Dividend Yield Stocks in S&P 500 (2026) Discover the 50 highest dividend yield stocks in the S&P 500 for 2026. Complete list ranked by yield, payout ratio,…",1,0,true,false,true,false,true
Href link,false,https://westmountfundamentals.com/,200,https://westmountfundamentals.com/broker-fees,200,📖 Online Broker Fee Comparison 2026 — Westmount Research One broker charges 65¢ per options contract while another charges nothing — but hides it in the spread. We compared 22…,1,0,true,false,true,false,true
Href link,false,https://westmountfundamentals.com/,200,https://westmountfundamentals.com/sp500-sector-weights,200,📖 S&P 500 Sector Weights: The 25-Year Rotation (2000-2026) Tech crashed from 25% to 15% after the dot-com bust — then climbed back above 30%. A 25-year time-lapse of how the S&P…,1,0,true,false,true,false,true
Href link,false,https://westmountfundamentals.com/,200,https://westmountfundamentals.com/best-performing-stocks-2026,200,"📈 Best Performing Stocks 2026 YTD: Top Gainers in the S&P 500 The top performing S&P 500 stock in 2026 is up over 632% YTD. See the full list of best performing stocks, top gainers,…",1,0,true,false,true,false,true
Href link,false,https://westmountfundamentals.com/,200,https://westmountfundamentals.com/sp500-dividend-yield-history,200,💰 S&P 500 Dividend Yield History: 1960–2026 Complete Data Why are S&P 500 dividends shrinking? Track the dramatic shift from 5%+ yields to historical lows with this 60-year…,1,0,true,false,true,false,true
