PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Meta description,H1,H2,No. of content words,No. of internal outlinks,No. of external outlinks,Page text,Extracted text (raw <body>) (length),Text hash,First found at
40,https://leeroyjenkins.quest/,Leeroy Jenkins,text/html; charset=utf-8,false,200,0,true,"Leeroy Jenkins — tools, guides, studies, and resources.",Leeroy Jenkins,"Calculators & Tools
Research & Analysis
Guides & Explainers
Lists & Rankings",2417,96,1,<truncated>,15938,2897766301973435083,
22,https://leeroyjenkins.quest/gaming-jargon-dictionary,Gaming Jargon Dictionary: 200 Terms Explained,text/html; charset=utf-8,false,200,0,true,"The ultimate gaming jargon dictionary explaining 200 essential terms including FPS, MOBA, MMO, competitive, and streaming jargon.",Gaming Jargon Dictionary: 200 Terms Explained,The Complete Glossary,7153,9,1,<truncated>,46930,15972522057532070018,
22,https://leeroyjenkins.quest/best-gaming-mice-2026,Best Gaming Mice 2026,text/html; charset=utf-8,false,200,0,true,"Ranked list of the best gaming mice in 2026. Categories: FPS, MOBA, MMO, wireless, budget, ergonomic.",Best Gaming Mice 2026,"Top Ranked Gaming Mice of 2026
Best by Category
Understanding Gaming Mouse Categories
Specifications Comparison
Deep Dive Guides & Tools",250,9,1,<truncated>,1631,16028131618019571535,
22,https://leeroyjenkins.quest/guide-competitive-gaming-complete,Optimize Your Aim & Performance: Competitive Gaming Guide,text/html; charset=utf-8,false,200,0,true,"Master competitive gaming: DPI settings, FOV optimization, crosshair design, reaction time training, and peripheral setup for peak performance.",Optimize Your Aim & Performance: Competitive Gaming Guide,"1. The Science of Aiming
2. DPI & Sensitivity Guide
3. FOV Settings Explained
4. Crosshair Design
5. Reaction Time Training
6. Input Lag: Every Millisecond Matters
7. Mouse Grip Styles
8. Color Vision & Gaming
Frequently Asked Questions",1144,11,1,<truncated>,7361,2205828885721196897,
22,https://leeroyjenkins.quest/router-settings-guide,Optimal Router Settings for Gaming (QoS & Bufferbloat Fix),text/html; charset=utf-8,false,200,0,true,"Stop lagging when someone watches Netflix. Learn the exact router settings you need to configure for a stable, low-latency gaming connection.",Optimal Router Settings for Gaming,"1. How to Access Your Router Settings
2. Quality of Service (QoS) & Bufferbloat
3. UPnP vs. Port Forwarding (Fixing NAT Types)
4. WiFi Settings (If you absolutely can't use Ethernet)
5. DNS Configuration at the Router Level
6. Update Router Firmware",974,6,1,<truncated>,5816,2319924132708241611,
22,https://leeroyjenkins.quest/guide-gaming-pc-complete,The Complete Guide to Building a Gaming PC (2026),text/html; charset=utf-8,false,200,0,true,"Everything about building a gaming PC: component selection, GPU benchmarks, bottleneck analysis, budget tiers, and step-by-step assembly.",The Complete Guide to Building a Gaming PC (2026),"Table of Contents
1. Why Build Your Own PC?
2. Understanding Components
3. GPU Selection Guide
4. CPU & GPU Bottlenecking
5. Budget Tiers
6. Step-by-Step Assembly
7. Optimizing FPS
8. Frequently Asked Questions",1468,9,1,<truncated>,8561,3784730201146506139,
22,https://leeroyjenkins.quest/gaming-headsets-2026,Best Gaming Headsets 2026: Ultimate Buyer's Guide,text/html; charset=utf-8,false,200,0,true,"The complete guide to choosing the best gaming headset in 2026. Compare wired vs wireless, open vs closed back, and find the perfect audio setup.",Best Gaming Headsets 2026: Ultimate Buyer's Guide,"Understanding Headset Acoustic Design
Connectivity: Cutting the Cord
Finding the Best Headset for Your Budget and Style
Upgrading Your Audio Chain
The Microphone Dilemma
Conclusion",734,9,1,<truncated>,4816,3874225525394555083,
22,https://leeroyjenkins.quest/network-optimization-guide,The Ultimate Gaming Network Optimization Guide (2024),text/html; charset=utf-8,false,200,0,true,"Master your gaming network. Learn how to lower ping, fix lag spikes, configure your router for gaming, and optimize your connection for zero packet loss.",The Ultimate Gaming Network Optimization Guide,"1. Understanding the Basics: Latency vs. Bandwidth
2. The Foundation: Wired vs. Wireless Connections
3. Router Optimization: The Gatekeeper
4. DNS Optimization: Faster Routing and Matchmaking
5. Advanced Troubleshooting & Diagnostics
6. Hardware Bottlenecks: It's Not Always the Network
7. ISP Selection: The Final Frontier
Conclusion",1975,9,1,<truncated>,12475,3022615409072720795,
22,https://leeroyjenkins.quest/open-vs-closed-back-gaming,Open-Back vs Closed-Back Gaming Headsets,text/html; charset=utf-8,false,200,0,true,"Understand the differences between open-back and closed-back headsets for gaming. Learn about soundstage, immersion, and competitive advantage.",Open-Back vs Closed-Back Gaming Headsets,"The Basics: What's the Difference?
Which is Better for Competitive FPS?
Immersion in Single-Player Games
Comfort and Heat
The Verdict",583,5,1,<truncated>,3720,4491819103989892799,
21,https://leeroyjenkins.quest/refresh-rate-test,Monitor Refresh Rate Test | Leeroy Jenkins,text/html; charset=utf-8,false,200,0,true,"Test and verify your monitor's true refresh rate (Hz). Detect frame skipping, check smoothness with moving bars, and confirm your display settings.",Monitor Refresh Rate Test,"What is Monitor Refresh Rate (Hz)?
Why does Refresh Rate matter for gaming?
What is Frame Skipping?
How to enable your monitor's highest refresh rate",447,2,1,<truncated>,2794,18187797358355763662,
21,https://leeroyjenkins.quest/dpi-calculator,DPI & Sensitivity Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,0,true,"Match your mouse sensitivity across any DPI. Calculate eDPI, cm/360, and in/360. Compare your sensitivity to pro players in Valorant, CS2, and Overwatch.",DPI & Sensitivity Calculator,"What is eDPI?
What is cm/360?
Why switch DPI?",321,2,1,<truncated>,1994,2241742583628274412,
21,https://leeroyjenkins.quest/esports-terms,Esports Terms,text/html; charset=utf-8,false,200,0,true,"Esports terms: bracket, bo3, group stage, LAN, bootcamp, franchise.",Esports Terms,,980,5,1,<truncated>,6666,15617973514501397416,
