PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description length,No. of meta descriptions,Is indexable page
40,https://siliconbased.dev/,Silicon Based,text/html; charset=utf-8,false,200,0,0,"Silicon Based — tools, guides, studies, and resources.",54,1,true
21,https://siliconbased.dev/chmod-calculator,Chmod Calculator: Unix File Permissions Made Easy,text/html; charset=utf-8,false,200,0,0,What does chmod 755 actually do? Most developers get this one crucial setting wrong.,84,1,true
21,https://siliconbased.dev/react-vs-vue,React vs Vue in 2026: The Enduring Rivalry,text/html; charset=utf-8,false,200,0,0,"Compare React and Vue syntax, reactivity models, ecosystem maturity, and job market demand.",91,1,true
21,https://siliconbased.dev/best-free-apis-2026,Best Free APIs in 2026,text/html; charset=utf-8,false,200,0,0,"Curated list of 30+ best free APIs: weather, maps, AI, finance, social, entertainment.",86,1,true
20,https://siliconbased.dev/guide-prompting-jules,How to Prompt Google Jules for Research,text/html; charset=utf-8,false,200,0,0,We ran 500+ Google Jules sessions across 9 domains and built a fully automated content factory.,95,1,true
20,https://siliconbased.dev/css-performance-guide,CSS Performance Optimization Guide,text/html; charset=utf-8,false,200,0,0,"Master CSS performance: Critical CSS, uncss, will-change, and layout thrashing.",79,1,true
20,https://siliconbased.dev/guide-lighthouse-score,The Developer's Guide to Google Lighthouse Scores,text/html; charset=utf-8,false,200,0,0,"Understand Lighthouse metrics, weightings, and how to achieve a perfect 100.",76,1,true
20,https://siliconbased.dev/caching-strategy-guide,Web Caching Strategy Guide,text/html; charset=utf-8,false,200,0,0,"Master Cache-Control, ETags, CDNs, and stale-while-revalidate for blazing fast web performance.",95,1,true
20,https://siliconbased.dev/cp-calculator,CP Calculator,text/html; charset=utf-8,false,200,0,0,Stop guessing your Cp and Cpk values—our calculator reveals the truth instantly.,80,1,true
20,https://siliconbased.dev/performance-budget-calculator,Performance Budget Calculator,text/html; charset=utf-8,false,200,0,0,"Set a page weight budget and allocate it across HTML, CSS, JS, images, and fonts.",81,1,true
20,https://siliconbased.dev/core-web-vitals-checker,Core Web Vitals Impact Checker,text/html; charset=utf-8,false,200,0,0,"Interactive tool to analyze how your code affects LCP, INP, and CLS.",68,1,true
20,https://siliconbased.dev/image-optimization-guide,Modern Image Optimization Guide,text/html; charset=utf-8,false,200,0,0,"Master image optimization with WebP, AVIF, responsive images, and lazy loading.",79,1,true
20,https://siliconbased.dev/font-loading-guide,Web Font Loading Strategies,text/html; charset=utf-8,false,200,0,0,Eliminate FOIT and optimize font delivery for better web performance.,69,1,true
