PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Meta description,H1,H2,No. of content words,No. of internal outlinks,No. of external outlinks,Page text,Extracted text (raw <body>) (length),Text hash,First found at
40,https://firemaths.info/,Fire Maths,text/html; charset=utf-8,false,200,0,true,"Fire Maths — tools, guides, studies, and resources.",Fire Maths,"Calculators & Tools
Research & Analysis
Guides & Explainers
Lists & Rankings",4381,165,1,<truncated>,28876,1243072011400316511,
22,https://firemaths.info/guide-budgeting-complete,Budgeting for Beginners: Build Your Financial Foundation,text/html; charset=utf-8,false,200,0,true,"A comprehensive budgeting guide covering the 50/30/20 rule, zero-based budgeting, the envelope method, and tools to track spending and build savings.",Budgeting for Beginners: Build Your Financial Foundation,"1. Why Budgeting Matters
2. Budgeting Methods Compared
3. Setting Up Your First Budget
4. The Emergency Fund
5. Automating Your Finances
6. Tracking Net Worth
7. Common Budgeting Mistakes
8. Best Budgeting Tools & Apps
Frequently Asked Questions",1117,10,1,<truncated>,6968,14944423171895071311,
21,https://firemaths.info/gic-ladder-calculator,GIC Ladder Calculator: Build Your Cash Strategy,text/html; charset=utf-8,false,200,0,true,Use our interactive GIC Ladder Calculator to build a custom cash strategy. Balance high guaranteed returns with regular liquidity for early retirement.,GIC Ladder Calculator,"Build Your Ladder
How the Ladder Works in Practice
Compare Your Options",312,7,1,<truncated>,1801,2768398222357635357,
21,https://firemaths.info/guide-investing-complete,Beginner's Guide to Investing Your Money,text/html; charset=utf-8,false,200,0,true,"Everything a beginner needs to know about investing: compound interest, index funds, dollar cost averaging, diversification, and building a simple portfolio.",Beginner's Guide to Investing Your Money,"1. Why Invest?
2. Compound Interest: The Eighth Wonder
3. Index Funds: The Simple Strategy That Beats Most Pros
4. Dollar Cost Averaging (DCA)
5. Understanding Risk & Diversification
6. Tax-Advantaged Accounts
7. How to Open a Brokerage Account & Start Investing
8. Common Beginner Mistakes
9. Frequently Asked Questions",1491,11,1,<truncated>,8982,2245074440919380946,
21,https://firemaths.info/home-insurance-comparison,Home Insurance Comparison Guide,text/html; charset=utf-8,false,200,0,true,"Compare home insurance coverage types, deductibles, and how to save. A comprehensive guide to understanding your policy and filing claims.",Home Insurance Comparison Guide,"1. Understanding Coverage Types
2. What Is and Isn't Covered
3. Choosing the Right Deductible
4. Filing a Claim
5. How to Save on Home Insurance
Explore Specific Insurance Topics
Frequently Asked Questions",1280,8,1,<truncated>,8241,16409154949845627949,
21,https://firemaths.info/guide-real-estate-complete,Real Estate Investing: Complete Beginner's Guide,text/html; charset=utf-8,false,200,0,true,"A comprehensive guide to real estate investing, including rental properties, REITs, house hacking, taxes, and rental property analysis.",Real Estate Investing: Complete Beginner's Guide,"Table of Contents
1. Why Real Estate?
2. Rent vs Buy: The Real Math
3. Rental Property Analysis
4. Financing Your First Property
5. REITs: Real Estate Without the Hassle
6. House Hacking & Creative Strategies
7. Property Management
8. Taxes & Real Estate
9. Frequently Asked Questions",1361,10,1,<truncated>,8508,16222924053651292077,
21,https://firemaths.info/automate-investments-guide,Automate Investments: The Set-and-Forget Strategy,text/html; charset=utf-8,false,200,0,true,"Automating investments — set-and-forget, auto-contributions. Remove human error and emotion from your FIRE plan.",Automate Investments: The Set-and-Forget Strategy,"The Power of 'Set and Forget'
Setting Up Auto-Contributions
The Benefit of Dollar Cost Averaging (DCA)",936,5,1,<truncated>,5915,608479226542625682,
21,https://firemaths.info/optimize-big-three-expenses,"Optimize the Big Three Expenses: Housing, Transport, Food",text/html; charset=utf-8,false,200,0,true,"Big 3 expenses — housing, transport, food. 70% of savings. Cut these correctly, and the rest of your budget barely matters.","Optimize the Big Three Expenses: Housing, Transport, Food","1. Housing (The Largest Expense)
2. Transportation (The Wealth Destroyer)
3. Food (The Most Controllable Expense)",925,5,1,<truncated>,5631,18092184742194616056,
21,https://firemaths.info/guide-debt-complete,How to Get Out of Debt: The Complete Guide,text/html; charset=utf-8,false,200,0,true,"A comprehensive guide to eliminating debt. Learn about snowball vs avalanche methods, student loans, credit cards, and building a debt-free life.",How to Get Out of Debt: The Complete Guide,"1. Understanding Your Debt
2. Debt Snowball vs. Debt Avalanche
3. Credit Card Debt Strategy
4. Student Loan Repayment
5. Mortgage & Auto Debt
6. Debt Consolidation: Does It Work?
7. Building a Debt Payoff Plan
8. Life After Debt
Frequently Asked Questions",1417,9,1,<truncated>,8658,14680352430686472945,
21,https://firemaths.info/guide-fire-complete,The Complete Guide to Financial Independence (FIRE),text/html; charset=utf-8,false,200,0,true,"Everything about FIRE: save aggressively, invest wisely, retire early. Covers lean FIRE, fat FIRE, coast FIRE, barista FIRE, safe withdrawal rates, and.",The Complete Guide to Financial Independence (FIRE),"1. What is FIRE?
2. Types of FIRE
3. Calculating Your FIRE Number
4. Savings Rate: The Most Important Variable
5. Investment Strategy for FIRE
6. The 4% Rule & Safe Withdrawal Rates
7. Coast FIRE: The Halfway Point
8. Common Mistakes & Risks
9. Frequently Asked Questions",1330,11,1,<truncated>,8229,412383389402948873,
