PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description length,No. of meta descriptions,Is indexable page
40,https://migratingmammals.com/,Migrating Mammals,text/html; charset=utf-8,false,200,0,0,"Migrating Mammals — tools, guides, studies, and resources.",58,1,true
22,https://migratingmammals.com/travel-insurance-credit-cards,Credit Card Travel Insurance Explained,text/html; charset=utf-8,false,200,0,0,Understand what credit card travel insurance actually covers and how the claims process works.,94,1,true
22,https://migratingmammals.com/points-vs-cashback-travel,Points vs Cashback for Travelers: The Math,text/html; charset=utf-8,false,200,0,0,A mathematical breakdown of whether travel points or cashback will save you more money.,87,1,true
22,https://migratingmammals.com/no-fx-fee-cards,Best No Foreign Transaction Fee Cards,text/html; charset=utf-8,false,200,0,0,Discover the best no foreign transaction fee cards to save 2.5% on every purchase abroad.,89,1,true
22,https://migratingmammals.com/nomad-guide-medellin,Medellin Nomad Guide,text/html; charset=utf-8,false,200,0,0,"Poblado vs Laureles, safety, costs.",35,1,true
22,https://migratingmammals.com/nomad-cost-comparison,Interactive City Cost Comparison,text/html; charset=utf-8,false,200,0,0,"Rent, food, transport side-by-side.",35,1,true
22,https://migratingmammals.com/best-nomad-cities-2026,25 Best Cities for Digital Nomads in 2026,text/html; charset=utf-8,false,200,0,0,"Ranked based on cost, internet, safety, visa, community, and weather.",69,1,true
21,https://migratingmammals.com/nomad-guide-mexico-city,Mexico City Nomad Guide,text/html; charset=utf-8,false,200,0,0,"Roma/Condesa, costs, safety, food, altitude.",44,1,true
21,https://migratingmammals.com/nomad-guide-chiang-mai,Chiang Mai Nomad Guide,text/html; charset=utf-8,false,200,0,0,"OG hub, costs, smoke season, community.",39,1,true
21,https://migratingmammals.com/guide-remote-work-visa,Remote Work Visas by Country | Migrating Mammals,text/html; charset=utf-8,false,200,0,0,"Complete guide to digital nomad visas. Requirements, costs, duration by country. Application tips.",98,1,true
21,https://migratingmammals.com/coworking-prices,Coworking Space Prices Around the World 2026 | migratingmammals.com,text/html; charset=utf-8,false,200,0,0,Compare coworking day pass and monthly prices across 50+ cities popular with digital nomads.,92,1,true
21,https://migratingmammals.com/nomad-guide-bali,Bali Nomad Guide,text/html; charset=utf-8,false,200,0,0,"Canggu vs Ubud, visa runs, coworking.",37,1,true
21,https://migratingmammals.com/visa-checker,Visa Requirement Checker | Migrating Mammals,text/html; charset=utf-8,false,200,0,0,"Check visa requirements, visa-free days, and e-visa options based on your passport and destination.",99,1,true
21,https://migratingmammals.com/nomad-guide-bangkok,Bangkok Nomad Guide,text/html; charset=utf-8,false,200,0,0,"Neighborhoods, coworking, costs, visa, food.",44,1,true
21,https://migratingmammals.com/nomad-guide-tbilisi,Tbilisi Nomad Guide,text/html; charset=utf-8,false,200,0,0,"1-year visa, ultra-low costs, wine, safety.",43,1,true
21,https://migratingmammals.com/nomad-guide-lisbon,Lisbon Nomad Guide,text/html; charset=utf-8,false,200,0,0,"D7/D8 visa, costs, coworking, weather.",38,1,true
