PR,URL,Title,Content type,Is rendered page,HTTP status code,H1,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://leeroyjenkins.quest/,Leeroy Jenkins,text/html; charset=utf-8,false,200,Leeroy Jenkins,"Leeroy Jenkins — tools, guides, studies, and resources.",2417,<truncated>,15938,2897766301973435083,0,true
21,https://leeroyjenkins.quest/refresh-rate-test,Monitor Refresh Rate Test | Leeroy Jenkins,text/html; charset=utf-8,false,200,Monitor Refresh Rate Test,"Test and verify your monitor's true refresh rate (Hz). Detect frame skipping, check smoothness with moving bars, and confirm your display settings.",447,<truncated>,2794,18187797358355763662,0,true
21,https://leeroyjenkins.quest/dpi-calculator,DPI & Sensitivity Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,DPI & Sensitivity Calculator,"Match your mouse sensitivity across any DPI. Calculate eDPI, cm/360, and in/360. Compare your sensitivity to pro players in Valorant, CS2, and Overwatch.",321,<truncated>,1994,2241742583628274412,0,true
21,https://leeroyjenkins.quest/guide-monitor-buying,Gaming Monitor Buying Guide | Leeroy Jenkins,text/html; charset=utf-8,false,200,Gaming Monitor Buying Guide,"Comprehensive reference guide for choosing the right gaming monitor including panel types, refresh rates, resolution, and best monitors by budget.",777,<truncated>,5026,340422318529796289,0,true
21,https://leeroyjenkins.quest/guide-mouse-grip,Mouse Grip Styles Guide | Leeroy Jenkins,text/html; charset=utf-8,false,200,Mouse Grip Styles Guide,"A comprehensive guide to mouse grip styles (Palm, Claw, Fingertip), hand size measurement, and the best mouse shapes for each grip.",783,<truncated>,4749,14504538072543248015,0,true
20,https://leeroyjenkins.quest/aim-trainer-stats,Aim Stats Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,Aim Stats Calculator,"Calculate aim training metrics: accuracy, time-to-kill, clicks per second, and improvement rate. Track progress over sessions and set goals.",385,<truncated>,2461,17348627203595774623,0,true
20,https://leeroyjenkins.quest/reaction-time,Reaction Time Test | Leeroy Jenkins,text/html; charset=utf-8,false,200,Reaction Time Test,Test your reaction time with visual and audio stimuli. Track your average over multiple attempts and compare your speed to competitive gaming benchmarks.,353,<truncated>,2195,16157966185658390013,0,true
20,https://leeroyjenkins.quest/fps-calculator,FPS Calculator & Estimator | Leeroy Jenkins,text/html; charset=utf-8,false,200,FPS Calculator & Estimator,"Estimate your Frames Per Second (FPS) based on your hardware (CPU, GPU), resolution, and game settings. A fast, free, client-side calculator.",517,<truncated>,3240,4243972709399406916,0,true
20,https://leeroyjenkins.quest/list-game-engines,Best Game Engines for Beginners | Leeroy Jenkins,text/html; charset=utf-8,false,200,Best Game Engines for Beginners,"Compare the best game engines for beginners: Unity, Godot, Unreal, and GameMaker. Learn about learning curves, 2D/3D support, pricing, pros, and cons.",534,<truncated>,3415,674738174855156327,0,true
20,https://leeroyjenkins.quest/gpu-performance-index,GPU Performance Index 2025 — Every Graphics Card Ranked,text/html; charset=utf-8,false,200,GPU Performance Index 2025 — Every Graphics Card Ranked,Original research compiling GPU benchmark data into a single searchable comparison. Gamers google RTX vs RX millions of times — we provide the definitive.,138,<truncated>,797,4518693023556651975,0,true
20,https://leeroyjenkins.quest/gaming-pc-builder,Gaming PC Budget Builder | Leeroy Jenkins,text/html; charset=utf-8,false,200,Gaming PC Budget Builder,"Plan your optimal gaming PC build. Allocate your budget across GPU, CPU, RAM, and more based on your use case for the best performance.",389,<truncated>,2407,2356461975009656301,0,true
20,https://leeroyjenkins.quest/discord-timestamp,Discord Timestamp Generator | Leeroy Jenkins,text/html; charset=utf-8,false,200,Discord Timestamp Generator,Generate Discord timestamp codes from any date and time. All format styles available. Copy and paste directly into Discord.,329,<truncated>,2011,17340379079776867675,0,true
20,https://leeroyjenkins.quest/input-lag,Input Lag Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,Input Lag Calculator,"Calculate your total system input lag. Breakdown of mouse, USB, CPU, GPU, and display latency in milliseconds.",354,<truncated>,2138,16136558325283362016,0,true
20,https://leeroyjenkins.quest/stream-bitrate,Stream Bitrate Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,Stream Bitrate Calculator,"Find the optimal stream bitrate for Twitch, YouTube, and Kick based on your resolution and FPS. Calculate required upload speed.",399,<truncated>,2457,14994206666834581585,0,true
20,https://leeroyjenkins.quest/keybind-planner,Keybind Layout Planner | Leeroy Jenkins,text/html; charset=utf-8,false,200,Keybind Layout Planner,"Visual keyboard layout planner for gamers. Assign actions, color-code keys, and load FPS, MOBA, and MMO templates entirely in your browser.",350,<truncated>,2170,18083830688860414314,0,true
20,https://leeroyjenkins.quest/esports-prize-pools,Esports Prize Pool Rankings 2026,text/html; charset=utf-8,false,200,Esports Prize Pool Rankings 2026,"Track the biggest esports prize pools, top tournaments, and highest earning players across different games.",154,<truncated>,1078,17600946133905093217,0,true
20,https://leeroyjenkins.quest/reaction-time-test,Reaction Time Test | Leeroy Jenkins,text/html; charset=utf-8,false,200,Reaction Time Test,Test your reaction time in milliseconds. Compare your response speed to pro gamer averages and track your running average.,369,<truncated>,2235,15754182585900301492,0,true
20,https://leeroyjenkins.quest/guide-streaming-setup,Streaming Setup Guide | Leeroy Jenkins,text/html; charset=utf-8,false,200,Streaming Setup Guide,"How to start streaming: OBS setup, mic, camera, lighting, scenes, overlays for Twitch and YouTube. A comprehensive reference guide and cheat sheet.",650,<truncated>,4117,14426300377754346471,0,true
20,https://leeroyjenkins.quest/damage-calculator,RPG Damage Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,RPG Damage Calculator,"Calculate your RPG damage per second (DPS) with weapon stats, buffs, debuffs, critical hits, and elemental damage. Compare two loadouts easily.",308,<truncated>,1952,2710948238608689986,0,true
20,https://leeroyjenkins.quest/game-fps-data,Game FPS by GPU 2026: Performance Data Across Popular Games,text/html; charset=utf-8,false,200,Game FPS by GPU 2026: Performance Data Across Popular Games,"Check how many FPS your GPU gets in 15+ popular games at 1080p, 1440p, and 4K. Matrix of average framerates for RTX 4090 down to RTX 3060.",418,<truncated>,2454,15853454824497134116,0,true
20,https://leeroyjenkins.quest/color-blind-test,Gaming Color Blind Test | Leeroy Jenkins,text/html; charset=utf-8,false,200,Gaming Color Blind Test,"Test your color vision for gaming. Simulate UI elements, identify potential color blindness types, and get accessibility setting suggestions.",356,<truncated>,2365,512440787190444565,0,true
20,https://leeroyjenkins.quest/list-free-games,Best Free-to-Play Games | Leeroy Jenkins,text/html; charset=utf-8,false,200,Best Free-to-Play Games,"Curated list of the top free-to-play games including Valorant, Fortnite, Apex Legends, League of Legends, Genshin Impact, and Path of Exile.",756,<truncated>,5232,1601830985087548412,0,true
20,https://leeroyjenkins.quest/guide-mechanical-keyboards,Mechanical Keyboards for Gaming Guide | Leeroy Jenkins,text/html; charset=utf-8,false,200,Mechanical Keyboards for Gaming Guide,"A comprehensive reference guide on mechanical keyboards for gaming. Learn about switch types, actuation force, form factors, and custom builds.",942,<truncated>,6260,14758245143076920503,0,true
20,https://leeroyjenkins.quest/guide-fps-optimization,FPS Optimization Guide | Leeroy Jenkins,text/html; charset=utf-8,false,200,FPS Optimization Guide,"Complete guide to boosting FPS. Windows settings, GPU drivers, in-game settings, hardware upgrades. A comprehensive cheat sheet for gamers.",784,<truncated>,5064,17861399576365593494,0,true
20,https://leeroyjenkins.quest/xp-calculator,XP & Leveling Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,XP & Leveling Calculator,"Calculate the XP, time, and sessions required to reach your target level in any game. Supports flat, linear, quadratic, and cubic leveling curves.",248,<truncated>,1545,3925480212501394077,0,true
20,https://leeroyjenkins.quest/list-gaming-mice,Best Gaming Mice List | Leeroy Jenkins,text/html; charset=utf-8,false,200,Best Gaming Mice List,"Top gaming mice by grip style. Compare weight, sensor, polling rate, DPI range, from budget to premium options.",365,<truncated>,2419,15534233574196412302,0,true
20,https://leeroyjenkins.quest/crosshair-generator,Crosshair Generator | Leeroy Jenkins,text/html; charset=utf-8,false,200,Crosshair Generator,"Design and preview custom crosshairs. Adjust shape, color, size, and gap. Export settings easily.",366,<truncated>,2325,17300246105337776630,0,true
20,https://leeroyjenkins.quest/bottleneck-calculator,PC Bottleneck Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,PC Bottleneck Calculator,"Check for CPU and GPU bottlenecks in your PC build. Calculate hardware bottlenecks across different resolutions like 1080p, 1440p, and 4K to optimize your.",393,<truncated>,2340,3090429459486266139,0,true
20,https://leeroyjenkins.quest/list-discord-bots,Best Discord Bots Guide | Leeroy Jenkins,text/html; charset=utf-8,false,200,Best Discord Bots Guide,"A curated list and comparison of the best Discord bots for moderation, music, leveling, welcome messages, and server utility.",988,<truncated>,6750,3198756215948892641,0,true
20,https://leeroyjenkins.quest/list-gaming-headsets,Best Gaming Headsets Comparison | Leeroy Jenkins,text/html; charset=utf-8,false,200,Best Gaming Headsets Comparison,"Compare the best gaming headsets. Filter by sound quality, mic quality, comfort, and wireless. Find your perfect budget or premium pick.",327,<truncated>,2160,1262867976283243399,0,true
20,https://leeroyjenkins.quest/randomizer,Random Number & Name Generator | Leeroy Jenkins,text/html; charset=utf-8,false,200,Random Number & Name Generator,"Free tool to generate random numbers, pick random names, create random teams, and generate tournament brackets. Works completely offline.",345,<truncated>,2244,17704193308643442702,0,true
20,https://leeroyjenkins.quest/resolution-scaler,Resolution Scaler Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,Resolution Scaler Calculator,Calculate rendered resolution percentages and pixel counts. Estimate the performance impact of resolution scaling in video games.,385,<truncated>,2491,2952137300725176554,0,true
