PR,URL,Title,Content type,Is rendered page,HTTP status code,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
20,https://westmountfundamentals.com/what-is-dividend-income,What is Dividend Income? A Complete Guide with Real Examples,text/html; charset=utf-8,false,200,"Discover the truth about dividend income, how it actually works, and the surprising math behind top-paying companies. The answer might change how you invest.",2452,<truncated>,15260,17739113944031090972,0,true
20,https://westmountfundamentals.com/dividend-definition,Dividend Definition: What It Is and How It Actually Works,text/html; charset=utf-8,false,200,"Everyone talks about passive income, but what is a dividend? Discover the hidden mechanics behind these cash payouts, real examples, and what beginners miss...",2834,<truncated>,18139,2867656827227483410,0,true
20,https://westmountfundamentals.com/compare-dividend-etfs,"Compare Dividend ETFs: SCHD, VYM, JEPI & More",text/html; charset=utf-8,false,200,"Use our interactive tool to instantly compare top dividend ETFs like SCHD, VYM, HDV, JEPI, JEPQ, and DGRO.",949,<truncated>,6259,16242126216066755460,0,true
20,https://westmountfundamentals.com/options-vs-stocks,Options vs Stocks: The Honest Difference No One Tells You,text/html; charset=utf-8,false,200,"Everyone talks about the leverage options provide, but most beginners completely misunderstand the true cost of time decay.",3053,<truncated>,18547,14484921628377258652,0,true
20,https://westmountfundamentals.com/dividend-investing-guide,What is Dividend Investing? A Complete Guide to Income Investing,text/html; charset=utf-8,false,200,"Want to get paid just for owning a stock? Discover the mechanics behind dividend investing, how it works in practice, and why the strategy goes deeper than...",3052,<truncated>,19796,15877103070874417942,0,true
20,https://westmountfundamentals.com/what-is-a-dividend-stock,What Is a Dividend Stock? The Complete Beginner's Guide,text/html; charset=utf-8,false,200,"Everyone talks about passive income, but few understand how dividend stocks actually work. Discover the surprisingly simple mechanics of getting paid just...",3493,<truncated>,22170,18233673636819087138,0,true
20,https://westmountfundamentals.com/ramsey-investment-calculator,Dave Ramsey Investment Calculator: Will 12% Returns Make You Rich?,text/html; charset=utf-8,false,200,Dave Ramsey often cites a 12% average annual return for mutual funds. See what happens to your money when you run the actual numbers in this interactive...,2568,<truncated>,16166,16132762648076159998,0,true
20,https://westmountfundamentals.com/options-trading-simulator,Options Trading Simulator: Free Practice Calculator,text/html; charset=utf-8,false,200,Curious how much that call or put could actually make? Our interactive options trading simulator reveals the true risk and reward of your next trade before...,1986,<truncated>,12720,1864271845243632456,0,true
20,https://westmountfundamentals.com/how-to-trade-stocks,How to Trade Stocks: The Definitive Beginner's Guide,text/html; charset=utf-8,false,200,Are you making this critical mistake before placing your first trade? Discover the mechanics of stock trading that the top 10% of market participants...,2798,<truncated>,17498,3945188856765258338,0,true
20,https://westmountfundamentals.com/how-to-invest-in-sp500,How to Invest in the S&P 500: A Complete Guide,text/html; charset=utf-8,false,200,"Everyone says to buy the S&P 500, but they rarely tell you the exact buttons to click or the hidden fees that eat your returns.",1709,<truncated>,10004,14083213191253021320,0,true
20,https://westmountfundamentals.com/investment-planner,Investment Planner & Calculator | Westmount Fundamentals,text/html; charset=utf-8,false,200,"Stop guessing about your financial future. Use our professional investment planner to project compound growth, test scenarios, and map out a bulletproof...",2448,<truncated>,15145,17712756586610748506,0,true
20,https://westmountfundamentals.com/stocks-101,Stocks 101: The Definitive Guide to How the Stock Market Works,text/html; charset=utf-8,false,200,"Everyone talks about buying stocks, but few understand what they actually own. Discover the underlying mechanics of shares, how they generate value, and the...",2493,<truncated>,15299,15350112461004636596,0,true
20,https://westmountfundamentals.com/options-calculator,Options Calculator | Black-Scholes Pricing & Greeks,text/html; charset=utf-8,false,200,Want to know the true fair value of an option before you trade? Most beginners overpay because they ignore one critical pricing factor.,2488,<truncated>,15736,3133380898880957991,0,true
20,https://westmountfundamentals.com/how-to-start-investing,How to Start Investing in Stocks: A Beginner's Guide,text/html; charset=utf-8,false,200,"Want to start investing in stocks but don't know where to begin? We break down the exact steps, how it actually works, and the one mistake that costs beginners thousands.",2955,<truncated>,18296,4072135647018559559,0,true
20,https://westmountfundamentals.com/what-is-a-dividend,What is a Dividend? A Complete Guide to Dividend Investing,text/html; charset=utf-8,false,200,"Millions of investors rely on dividends for passive income, but how do they actually work? Discover the hidden mechanics behind these cash payouts and why...",2679,<truncated>,17212,14307290653153897683,0,true
20,https://westmountfundamentals.com/dividend-meaning,Dividend Meaning: How It Works & What You Need To Know,text/html; charset=utf-8,false,200,"Everyone talks about passive income, but where does the cash actually come from? The real math behind payouts might change how you invest entirely.",3672,<truncated>,22906,31716918245471953,0,true
