PR,URL,Title,Content type,Is rendered page,HTTP status code,H1,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://siliconbased.dev/,Silicon Based,text/html; charset=utf-8,false,200,Silicon Based,"Silicon Based — tools, guides, studies, and resources.",5782,<truncated>,38520,1937275062905520389,0,true
20,https://siliconbased.dev/cron-expression-generator,Cron Expression Generator & Explainer,text/html; charset=utf-8,false,200,Cron Expression Generator & Explainer,90% of developers mess up crontab schedules. Discover the visual cron expression generator that builds perfect schedules every time.,692,<truncated>,3887,2129343706343054153,0,true
20,https://siliconbased.dev/ip-address-lookup,"IP Address Lookup: Geolocation, ISP & Network Info",text/html; charset=utf-8,false,200,"IP Address Lookup: Geolocation, ISP & Network Info","Your IP address reveals more than just your location. See what ISPs and websites can track about your network, including your exact coordinates and ASN.",495,<truncated>,3247,1108874472682511688,0,true
20,https://siliconbased.dev/git-cheat-sheet,Git Cheat Sheet: Every Command You Actually Need,text/html; charset=utf-8,false,200,Git Cheat Sheet: Every Command You Actually Need,Over 80% of developers repeat the same Git mistakes. Discover the ultimate git cheat sheet that transforms confusing merge conflicts into a seamless workflow.,247,<truncated>,1538,1377631249106000129,0,true
20,https://siliconbased.dev/ssl-certificate-checker,"SSL Certificate Checker: Verify HTTPS, Expiry & Chain of",text/html; charset=utf-8,false,200,"SSL Certificate Checker: Verify HTTPS, Expiry & Chain of","See what 90% of web servers miss about their SSL configuration. Check expiry, issuer, and trust chains instantly—before your users see a security warning.",505,<truncated>,3280,3750148285875108118,0,true
20,https://siliconbased.dev/js-framework-sizes,JavaScript Framework Bundle Size Comparison 2026,text/html; charset=utf-8,false,200,JavaScript Framework Bundle Size Comparison 2026,"Compare the minified and gzipped sizes, downloads, and popularity of modern JS frameworks. Original research by siliconbased.dev.",358,<truncated>,2322,14774895275832826779,0,true
20,https://siliconbased.dev/color-converter,"Color Converter: HEX to RGB, HSL, HSV & CMYK",text/html; charset=utf-8,false,200,"Color Converter: HEX to RGB, HSL, HSV & CMYK",Did you know 85% of standard brand colors fail modern accessibility tests? Check if your hex or rgb values pass and convert them instantly across all formats.,411,<truncated>,2534,869629649191570409,0,true
20,https://siliconbased.dev/guide-ssh-keys,"SSH Key Setup: Generate, Configure & Use SSH Keys",text/html; charset=utf-8,false,200,"SSH Key Setup: Generate, Configure & Use SSH Keys",Think your server is secure? 80% of developers mess up this one crucial step. Master SSH key generation and server setup in under 5 minutes.,869,<truncated>,5376,2498218182600677052,0,true
20,https://siliconbased.dev/api-response-times,API Response Time Benchmark 2026 | siliconbased.dev,text/html; charset=utf-8,false,200,API Response Time Benchmark 2026,"Benchmark of average API response times across popular public APIs including GitHub, Stripe, OpenAI, and AWS. Tested from multiple regions.",429,<truncated>,2813,2537595523208230822,0,true
20,https://siliconbased.dev/http-status-codes,HTTP Status Codes Reference: Every Code Explained with,text/html; charset=utf-8,false,200,HTTP Status Codes Reference: Every Code Explained with,Think you know every error? Explore all HTTP status codes (1xx-5xx) and discover the hidden reasons your site might be breaking.,3516,<truncated>,21423,1946442209322093314,0,true
20,https://siliconbased.dev/base64-encoder-decoder,Base64 Encoder/Decoder: Encode & Decode Text and Files,text/html; charset=utf-8,false,200,Base64 Encoder/Decoder: Encode & Decode Text and Files,"Did you know 33% of data overhead comes from this one encoding trick? Convert text, URLs, and images to Base64 instantly before you deploy your next API.",530,<truncated>,3205,4116815759994575526,0,true
