PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,AI content level,AI content status,No. of content words,Meta description,H1,Depth,Is indexable page
22,https://leeroyjenkins.quest/gaming-jargon-dictionary,Gaming Jargon Dictionary: 200 Terms Explained,text/html; charset=utf-8,false,200,0,Very high,Success,7153,"The ultimate gaming jargon dictionary explaining 200 essential terms including FPS, MOBA, MMO, competitive, and streaming jargon.",Gaming Jargon Dictionary: 200 Terms Explained,0,true
22,https://leeroyjenkins.quest/guide-competitive-gaming-complete,Optimize Your Aim & Performance: Competitive Gaming Guide,text/html; charset=utf-8,false,200,0,Very high,Success,1144,"Master competitive gaming: DPI settings, FOV optimization, crosshair design, reaction time training, and peripheral setup for peak performance.",Optimize Your Aim & Performance: Competitive Gaming Guide,0,true
21,https://leeroyjenkins.quest/esports-terms,Esports Terms,text/html; charset=utf-8,false,200,0,High,Success,980,"Esports terms: bracket, bo3, group stage, LAN, bootcamp, franchise.",Esports Terms,0,true
21,https://leeroyjenkins.quest/fps-terms-glossary,FPS Terms Glossary,text/html; charset=utf-8,false,200,0,High,Success,898,"Essential FPS terms explained: peeker's advantage, spray pattern, crosshair placement, rotation.",FPS Terms Glossary,0,true
21,https://leeroyjenkins.quest/competitive-gaming-terms,Competitive Gaming Terms,text/html; charset=utf-8,false,200,0,Very high,Success,830,"Competitive terms: ELO, MMR, smurfing, meta, tier list, scrim.",Competitive Gaming Terms,0,true
20,https://leeroyjenkins.quest/game-design-terms,Game Design Terms,text/html; charset=utf-8,false,200,0,Very high,Success,1023,"Game design terms: RNG, proc-gen, roguelike, metroidvania, souls-like.",Game Design Terms,0,true
20,https://leeroyjenkins.quest/fidget-spinner,"Fidget Spinner: Science, History, and Benefits",text/html; charset=utf-8,false,200,0,Very high,Success,1723,"Was the fidget spinner just a passing fad, or does it hold genuine cognitive benefits? The psychological research reveals an unexpected answer.",The Fidget Spinner Phenomenon,0,true
20,https://leeroyjenkins.quest/grow-a-garden-value-calculator,Grow A Garden Value Calculator | Estimate Yield Savings,text/html; charset=utf-8,false,200,0,Very high,Success,1513,Is growing your own food actually worth the effort? Our garden value calculator estimates your potential grocery savings based on plot size and crop types.,Grow A Garden Value Calculator,0,true
20,https://leeroyjenkins.quest/fn-tracker,Fortnite Stats Tracker & Calculator,text/html; charset=utf-8,false,200,0,High,Success,891,"Track your Fortnite K/D ratio, win percentage, and overall performance. What's a good K/D? Use our free Fortnite stats calculator to find out.",Fortnite Stats Calculator,0,true
20,https://leeroyjenkins.quest/grow-a-garden-calculator,Grow a Garden Calculator: Plan Your Yield & Savings,text/html; charset=utf-8,false,200,0,Very high,Success,1424,"Discover exactly how much food your space can produce, expected weekly water usage, and potential grocery savings—before you plant a single seed.",Grow a Garden Calculator,0,true
20,https://leeroyjenkins.quest/blox-fruits-calculator,Blox Fruits Calculator | Check Trade Values,text/html; charset=utf-8,false,200,0,Very high,Success,1286,"Are you getting scammed on your next trade? Calculate exactly how much your Blox Fruits inventory is worth, compare demand levels, and secure the best deals.",Blox Fruits Trade Calculator,0,true
