Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,No. of dofollow inlinks to target,No. of nofollow inlinks to target,Is source canonical,Is source noindex,Is target canonical,Is target noindex,Is link internal
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/water-based-lube-guide,200,"📖 Water-Based Lubricants Guide | The Nookie Nook Learn everything about water-based personal lubricants, including pros and cons, top uses, ingredients to avoid, and…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/consent-communication-guide,200,"📖 Consent & Sexual Communication Guide | The Nookie Nook Learn about the enthusiastic consent model, how to ask, how to say no, and navigating desire differences in…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/sexual-health-guide,200,"📖 The Comprehensive Guide to Sexual Health | The Nookie Nook An evidence-based, inclusive guide to sexual health, covering anatomy, STIs, contraception, consent, and holistic…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/contraception-comparison,200,"⚖️ Interactive Contraception Comparison Tool | The Nookie Nook Compare contraception methods side-by-side: pill, IUD, implant, condoms, and more. Filter by effectiveness, hormones,…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/what-is-sexual-orientation,200,"📖 What Is Sexual Orientation? — Types & Spectrum An evidence-based guide to sexual orientation. Explore the spectrum of attraction, the difference between identity and…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/lube-comparison-tool,200,"⚖️ Interactive Lube Comparison Tool | The Nookie Nook Find the perfect lubricant for your needs. Filter by base type, toy compatibility, condom safety, and sensitivity to…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/relationship-health-check,200,"📖 Relationship Health Assessment Tool | The Nookie Nook Evaluate your relationship's communication, trust, and intimacy with our interactive self-assessment. Gain insights and…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/guide-talking-to-doctor,200,"📖 Talking to Your Doctor About Sexual Health | The Nookie Nook Overcome embarrassment, learn what to ask, and advocate for yourself. A guide to finding sex-positive and inclusive…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/lube-for-menopause,200,"📖 Lubricants for Menopause & Vaginal Dryness | The Nookie Nook Learn about the best lubricants and moisturizers for managing vaginal dryness during menopause, postpartum, or medical…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/sexual-health-myths,200,"📖 Sexual Health Myths vs Facts Quiz | The Nookie Nook Test your knowledge with our interactive quiz. We debunk common myths about pregnancy, STIs, and anatomy with…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/what-is-pelvic-floor,200,"📖 What is the Pelvic Floor? Anatomy & Dysfunction — The Nookie Nook An evidence-based guide to the pelvic floor. Understand its anatomy, common dysfunctions, exercises (like Kegels), and…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/what-is-gender-identity,200,"📖 What is Gender Identity? The Gender Spectrum — The Nookie Nook An evidence-based guide to gender identity. Learn the difference between sex and gender, understand terminology like…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/sti-testing-guide,200,"📖 Complete STI Testing Guide & Window Periods | The Nookie Nook Understand window periods, testing frequency, and what to expect at a clinic. Your evidence-based guide to STI testing.",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/what-are-stis,200,"📖 What are STIs? Overview & Testing Guide — The Nookie Nook An evidence-based overview of sexually transmitted infections (STIs). Learn about common types like HPV and chlamydia,…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/oil-based-lube-guide,200,"📖 Oil-Based Lubricants Guide | The Nookie Nook Learn about oil-based lubricants, including natural options like coconut oil, when they are best used, and the critical…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/lube-ingredients-safety,200,"📖 Lube Ingredient Safety Guide | The Nookie Nook Understand the science of lubricant ingredients. Learn about osmolality, pH balance, glycerin, parabens, and how to…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/natural-lube-guide,200,"📖 Natural & Organic Lubricants Guide | The Nookie Nook Explore the world of natural lubricants. Learn what 'natural' actually means, the pros and cons of aloe vs. coconut…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/pleasure-anatomy-guide,200,"📖 Anatomy & Pleasure Guide | The Nookie Nook Understand your body. A detailed guide to vulvar and penile anatomy, erogenous zones, and the arousal response cycle.",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/what-is-erectile-dysfunction,200,"📖 What Is Erectile Dysfunction? — Causes & Treatments An evidence-based guide to erectile dysfunction. Understand the physical and psychological causes, available…",1,0,true,false,true,false,true
Href link,false,https://thenookienook.com/,200,https://thenookienook.com/lube-and-condoms,200,"📖 Lube and Condoms Compatibility Guide | The Nookie Nook Ensure your safety by understanding which lubricants are compatible with latex, polyurethane, and polyisoprene condoms,…",1,0,true,false,true,false,true
