PR,URL,Title,Content type,Is rendered page,HTTP status code,H1,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://ijustwantto.live/,I Just Want To,text/html; charset=utf-8,false,200,I Just Want To,"I Just Want To — tools, guides, studies, and resources.",1260,<truncated>,8282,18151034506015500254,0,true
21,https://ijustwantto.live/tile-calculator,Tile Calculator - Estimate Floor & Wall Tiles,text/html; charset=utf-8,false,200,Tile Calculator - Estimate Floor & Wall Tiles,"Calculate the number of tiles needed for floors and walls. Includes grout spacing, waste factor, and cost estimates.",414,<truncated>,2421,17934687568572342757,0,true
21,https://ijustwantto.live/deck-calculator,Deck Board Calculator - Estimate Decking & Joists,text/html; charset=utf-8,false,200,Deck Board Calculator - Estimate Decking & Joists,"Calculate the number of decking boards, linear feet of joists, and deck screws required for your project. Includes a 10% waste factor.",448,<truncated>,2722,14679313994787658069,0,true
21,https://ijustwantto.live/stair-calculator,"Stair Calculator - Calculate Rise, Run & Stringer",text/html; charset=utf-8,false,200,"Stair Calculator - Calculate Rise, Run & Stringer","Calculate stair rise, run, stringer length, and steps. Check building code compliance for safe and comfortable stairs.",515,<truncated>,3066,14157593994550715037,0,true
21,https://ijustwantto.live/btu-calculator,Room BTU Calculator (Heating & Cooling) | ijustwantto.live,text/html; charset=utf-8,false,200,Room BTU Calculator (Heating & Cooling),"Calculate the required heating and cooling BTUs for your room based on dimensions, insulation, sun exposure, and climate. Accurate AC and heater sizing.",453,<truncated>,2843,2762459947407683620,0,true
21,https://ijustwantto.live/solar-calculator,Solar Panel Calculator | ijustwantto.live,text/html; charset=utf-8,false,200,Solar Panel Calculator,"Calculate your recommended solar system size, number of panels needed, estimated costs, and payback period.",303,<truncated>,1976,17654554289442138484,0,true
21,https://ijustwantto.live/guide-insulation,Home Insulation Guide - Types & R-Values Cheat Sheet,text/html; charset=utf-8,false,200,Home Insulation Guide - Types & R-Values Cheat Sheet,"A comprehensive reference guide for home insulation. Compare fiberglass, spray foam, cellulose, and mineral wool. Find recommended R-values for your climate zone.",825,<truncated>,5146,14033576652559451659,0,true
21,https://ijustwantto.live/gravel-calculator,"Gravel & Mulch Calculator - Estimate Yards, Tons & Bags",text/html; charset=utf-8,false,200,"Gravel & Mulch Calculator - Estimate Yards, Tons & Bags","Calculate cubic yards, tons, and bags needed for gravel, mulch, and soil projects. Easy calculator for landscaping coverage area and depth.",369,<truncated>,2179,4480803963971778432,0,true
21,https://ijustwantto.live/lumber-calculator,Lumber Calculator - Board Feet & Cost,text/html; charset=utf-8,false,200,Lumber Calculator - Board Feet & Cost,"Calculate board feet and total cost for your lumber projects. Features a batch mode to estimate multiple pieces of wood, waste factors, and more.",386,<truncated>,2309,16237985857376748949,0,true
21,https://ijustwantto.live/fence-calculator,Fence Calculator - Estimate Materials & Cost,text/html; charset=utf-8,false,200,Fence Calculator - Estimate Materials & Cost,"Calculate fence materials including posts, rails, pickets, and concrete. Estimate total cost for your fencing project with our free interactive tool.",572,<truncated>,3419,17384840486345434659,0,true
21,https://ijustwantto.live/drywall-calculator,"Drywall Calculator - Estimate Sheets, Tape, Mud & Screws",text/html; charset=utf-8,false,200,"Drywall Calculator - Estimate Sheets, Tape, Mud & Screws","Calculate drywall materials needed for your project including 4x8 and 4x12 sheets, joint tape, joint compound, and drywall screws. Includes a standard 10% waste factor.",428,<truncated>,2517,3009495960431067616,0,true
21,https://ijustwantto.live/sqft-calculator,Square Footage Calculator - Multiple Shapes & Areas,text/html; charset=utf-8,false,200,Square Footage Calculator - Multiple Shapes & Areas,"Calculate square footage for rooms and projects. Add multiple areas including rectangular, triangular, and circular shapes. Instant results.",317,<truncated>,1926,17374695564425089041,0,true
21,https://ijustwantto.live/concrete-calculator,Concrete Calculator - Estimate Yards & Bags,text/html; charset=utf-8,false,200,Concrete Calculator - Estimate Yards & Bags,"Calculate cubic yards of concrete for slabs, footings, columns, and post holes. Includes a 10% waste factor and estimates for 60lb and 80lb bags.",454,<truncated>,2744,13887643725701006436,0,true
21,https://ijustwantto.live/roof-pitch,"Roof Pitch Calculator - Ratio, Degrees & Area",text/html; charset=utf-8,false,200,"Roof Pitch Calculator - Ratio, Degrees & Area","Calculate roof pitch (rise over run), convert to degrees and percentages, and estimate total roof area from the flat footprint area.",405,<truncated>,2477,3902915515542447903,0,true
20,https://ijustwantto.live/paint-calculator,Paint Calculator - Estimate Gallons & Cost,text/html; charset=utf-8,false,200,Paint Calculator - Estimate Gallons & Cost,"Calculate exactly how much paint you need for your next room makeover. Enter dimensions, subtract doors and windows, and estimate your total cost.",392,<truncated>,2263,17356903659168737402,0,true
20,https://ijustwantto.live/list-air-purifiers,Best Air Purifiers 2025 | ijustwantto.live,text/html; charset=utf-8,false,200,Best Air Purifiers 2025,"Compare the best air purifiers by room size, filter type, noise level, and price. Find the right HEPA, activated carbon, and UV purifier for your home.",839,<truncated>,5224,16830377307207810048,0,true
20,https://ijustwantto.live/list-home-tools,Essential Home Tools | ijustwantto.live,text/html; charset=utf-8,false,200,Essential Home Tools,"A curated list of must-have tools for every homeowner. Compare hand tools, power tools, and safety gear with budget recommendations and key features.",405,<truncated>,2495,2938801240109903798,0,true
20,https://ijustwantto.live/guide-paint-room,How to Paint a Room Like a Pro - Step-by-Step Guide,text/html; charset=utf-8,false,200,How to Paint a Room Like a Pro - Step-by-Step Guide,"A comprehensive cheat sheet and step-by-step guide on how to paint a room perfectly. Covers prep, primer, cutting in, rolling, and cleanup.",1239,<truncated>,7122,3327658382499934835,0,true
