PR,URL,Title,Content type,Is rendered page,HTTP status code,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://siliconbased.dev/,Silicon Based,text/html; charset=utf-8,false,200,"Silicon Based — tools, guides, studies, and resources.",5782,<truncated>,38520,1937275062905520389,0,true
21,https://siliconbased.dev/chmod-calculator,Chmod Calculator: Unix File Permissions Made Easy,text/html; charset=utf-8,false,200,What does chmod 755 actually do? Most developers get this one crucial setting wrong.,519,<truncated>,3179,17288042867283787542,0,true
20,https://siliconbased.dev/base64,Base64 Encoder & Decoder | Free Online Tool,text/html; charset=utf-8,false,200,"Encode text or files to Base64, or decode Base64 to text instantly. Supports URL-safe mode, line wrapping, and image to Data URI conversion.",448,<truncated>,2669,14195789711203395207,0,true
20,https://siliconbased.dev/guide-vim,Vim Cheat Sheet | Essential Commands & Interactive Practice,text/html; charset=utf-8,false,200,"Comprehensive Vim cheat sheet and reference guide. Covers modes, navigation, editing, search, and macros. Includes an interactive practice mode.",338,<truncated>,1990,14181695264807793284,0,true
20,https://siliconbased.dev/cron-expression-generator,Cron Expression Generator & Explainer,text/html; charset=utf-8,false,200,90% of developers mess up crontab schedules. Discover the visual cron expression generator that builds perfect schedules every time.,692,<truncated>,3887,2129343706343054153,0,true
20,https://siliconbased.dev/readme-generator,README Generator | Free Online Tool,text/html; charset=utf-8,false,200,"Generate professional README.md files quickly. Includes sections for install, usage, API, contributing, and license with live Markdown preview.",310,<truncated>,2098,17875850715672515961,0,true
20,https://siliconbased.dev/yaml-json,"YAML ↔ JSON Converter — Fast, Free & Offline Tool",text/html; charset=utf-8,false,200,"Convert between YAML and JSON formats instantly. Validates syntax, shows errors with line numbers, and supports nested structures.",346,<truncated>,2185,17730419459842944037,0,true
20,https://siliconbased.dev/guide-prompting-jules,How to Prompt Google Jules for Research,text/html; charset=utf-8,false,200,We ran 500+ Google Jules sessions across 9 domains and built a fully automated content factory.,176,<truncated>,1184,537723835709919056,0,true
20,https://siliconbased.dev/json-path,JSON Path Tester & Evaluator — Test JSONPath Live,text/html; charset=utf-8,false,200,Free interactive JSONPath tester. Evaluate JSONPath expressions against messy JSON data instantly. Supports wildcards and complex queries.,278,<truncated>,1799,4099669439802731572,0,true
20,https://siliconbased.dev/json-formatter,"JSON Formatter & Validator — Format, Minify, and Validate",text/html; charset=utf-8,false,200,"Why do 90% of developers waste time on messy JSON? Instantly format, minify, and fix your code online.",497,<truncated>,3128,3465222140199973478,0,true
20,https://siliconbased.dev/color-palette,Color Palette Generator | Harmonious Palettes & Image,text/html; charset=utf-8,false,200,"Generate beautiful, harmonious color palettes including complementary, analogous, triadic, and tetradic. Extract colors from images instantly.",314,<truncated>,2090,3338618616678421138,0,true
20,https://siliconbased.dev/guide-api-authentication,"API Authentication Guide: API Keys, OAuth 2.0, JWT & Bearer",text/html; charset=utf-8,false,200,"Did you know 63% of APIs use the wrong auth method? Learn the exact differences between API Keys, OAuth 2.0, Bearer Tokens.",1579,<truncated>,10960,14430303434794794640,0,true
