PR,URL,Title,Content type,Is rendered page,HTTP status code,H1,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://firemaths.info/,Fire Maths,text/html; charset=utf-8,false,200,Fire Maths,"Fire Maths — tools, guides, studies, and resources.",4381,<truncated>,28876,1243072011400316511,0,true
20,https://firemaths.info/lease-buy,Lease vs Buy Calculator | firemaths.info,text/html; charset=utf-8,false,200,Lease vs Buy Calculator,"Compare the true cost of leasing vs. buying a vehicle. Calculate depreciation, interest, tax benefits, and find your break-even point.",685,<truncated>,4077,17288810005442204335,0,true
20,https://firemaths.info/guide-tax-optimization,Tax Optimization Strategies Guide | firemaths.info,text/html; charset=utf-8,false,200,Tax Optimization Strategies Guide,"A comprehensive reference guide and cheat sheet for legal tax reduction strategies including tax-loss harvesting, Roth conversions, HSAs, 529 plans, and.",919,<truncated>,6115,966774938629855503,0,true
20,https://firemaths.info/list-budgeting-apps,Best Free Budgeting Apps: YNAB vs Mint vs Others,text/html; charset=utf-8,false,200,Best Free Budgeting Apps: YNAB vs Mint vs Others,"Compare the best free budgeting apps: YNAB, Mint, PocketGuard, and Goodbudget. Features, privacy, platforms, pros and cons to help you choose the right.",585,<truncated>,4004,33329290886912831,0,true
20,https://firemaths.info/list-credit-cards,Best No-Fee Credit Cards: Top Cashback & Travel Picks,text/html; charset=utf-8,false,200,Best No-Fee Credit Cards: Top Cashback & Travel Picks,"Compare the best no-annual-fee credit cards: Chase Freedom Unlimited, Citi Double Cash, Capital One VentureOne, and more.",931,<truncated>,5932,16383063773012599046,0,true
20,https://firemaths.info/tax-brackets-comparison,Income Tax Brackets by Country 2026 | firemaths.info,text/html; charset=utf-8,false,200,Income Tax Brackets by Country 2026,,444,<truncated>,2965,16241126660322788186,0,true
20,https://firemaths.info/inflation-calculator,Inflation Calculator | Purchasing Power & Historical CPI Data | FireMaths,text/html; charset=utf-8,false,200,Inflation Calculator,Think your money is safe under the mattress? Discover the silent tax eating your savings. Calculate exact purchasing power loss from 1913 to today with our.,542,<truncated>,3264,1709720490421607406,0,true
20,https://firemaths.info/net-worth-calculator,Net Worth Calculator: Track Your Financial Health | FireMaths,text/html; charset=utf-8,false,200,Net Worth Calculator: Track Your Financial Health,Surprising truth about wealth: Your actual net worth might be shockingly different than you think. Discover the one hidden metric that decides when you can.,555,<truncated>,3368,14342705371808386621,0,true
20,https://firemaths.info/fire-calculator,FIRE Calculator — Find Your Financial Independence Number,text/html; charset=utf-8,false,200,FIRE Calculator — Find Your Financial Independence Number,"Calculate your FIRE number (Financial Independence, Retire Early). See your retirement date and required savings based on expenses, savings rate, and returns.",378,<truncated>,2325,17488662701228518714,0,true
20,https://firemaths.info/profit-margin,Profit Margin Calculator | firemaths.info,text/html; charset=utf-8,false,200,Profit Margin Calculator,"Calculate gross, operating, and net profit margins. Easily determine your markup percentage based on revenue and costs.",509,<truncated>,3168,1417944725425492776,0,true
20,https://firemaths.info/rule-of-72,Rule of 72 Calculator | firemaths.info,text/html; charset=utf-8,false,200,Rule of 72 Calculator,"Calculate the doubling time of an investment using the Rule of 72, Rule of 70, Rule of 69.3, and exact formulas.",349,<truncated>,2018,3119891736359595868,0,true
