PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Meta description,H1,H2,No. of content words,No. of internal outlinks,No. of external outlinks,Page text,Extracted text (raw <body>) (length),Text hash,First found at
40,https://siliconbased.dev/,Silicon Based,text/html; charset=utf-8,false,200,0,true,"Silicon Based — tools, guides, studies, and resources.",Silicon Based,"Calculators & Tools
Research & Analysis
Guides & Explainers
Lists & Rankings",5782,229,1,<truncated>,38520,1937275062905520389,
21,https://siliconbased.dev/chmod-calculator,Chmod Calculator: Unix File Permissions Made Easy,text/html; charset=utf-8,false,200,0,true,What does chmod 755 actually do? Most developers get this one crucial setting wrong.,Chmod Calculator,"Linux File Permissions Quick Reference
Frequently Asked Questions
Common Chmod Permission Values",519,8,1,<truncated>,3179,17288042867283787542,
21,https://siliconbased.dev/chmod/777,chmod 777 (rwxrwxrwx) — Linux File Permissions Explained,text/html; charset=utf-8,false,200,0,true,"What does chmod 777 mean? Full access for everyone. Interactive permission breakdown, copy-paste commands, security analysis, and common mistakes explained.",chmod 777 — rwxrwxrwx,"Permission Breakdown
Command
When to use chmod 777
Common Mistake
chmod 777 vs 755
Frequently Asked Questions
Related Permissions",467,6,1,<truncated>,2751,4271646517685428147,https://siliconbased.dev/chmod/666
21,https://siliconbased.dev/web-dev-glossary,Web Development Glossary: The Ultimate Guide to Tech Terms,text/html; charset=utf-8,false,200,0,true,A comprehensive glossary of web development terms and deep-dive pages for key concepts. Master the language of software engineering.,Web Development Glossary,"Deep-Dive Core Concepts
A-Z Web Development Terms",2189,9,1,<truncated>,14754,627634418546387221,
21,https://siliconbased.dev/top-developer-tools-2026,Top 20 Essential Developer Tools in 2026,text/html; charset=utf-8,false,200,0,true,"A comprehensive, curated list of the 20 most essential developer tools in 2026. Discover AI assistants, editors, terminals, and deployment platforms.",Top 20 Essential Developer Tools in 2026,"1. Visual Studio Code
2. Cursor
3. Warp
4. Docker Desktop
5. Postman
6. Vercel
7. Figma (Dev Mode)
8. TablePlus
9. GitHub Copilot
10. Raycast
11. Insomnia
12. Cloudflare Pages
13. iTerm2
14. DBeaver
15. Bruno
16. Netlify
17. Neovim
18. Linear
19. DataGrip
20. Obsidian
Conclusion",1956,9,1,<truncated>,13510,17945819936156233705,
21,https://siliconbased.dev/web-performance-guide,The Complete Guide to Web Performance Optimization,text/html; charset=utf-8,false,200,0,true,"Master web performance with this comprehensive guide covering Core Web Vitals, performance budgets, image optimization, caching, and more.",The Complete Guide to Web Performance Optimization,"Core Web Vitals: The Foundation of Performance
Performance Budgets
Image Optimization
JavaScript Optimization
CSS Optimization
Caching Strategies
Font Loading Strategies
Measuring and Monitoring
Conclusion
Advanced Web Performance Techniques
Web Workers and Off-Main-Thread Architecture
Optimizing Third-Party Scripts
Frequently Asked Questions",2042,9,1,<truncated>,13258,1314985055190573537,
21,https://siliconbased.dev/javascript-frameworks-2026,The Complete JavaScript Framework Landscape in 2026,text/html; charset=utf-8,false,200,0,true,"An in-depth comparison of modern JavaScript frameworks including React, Vue, Svelte, Angular, Solid, Astro, Next.js, and Nuxt.",The Complete JavaScript Framework Landscape in 2026,"Deep Dive Comparisons
The Big Three (and a Half): React, Vue, Angular, and Svelte
The Performance Pioneers: Solid and Astro
The Meta-Frameworks: Next.js and Nuxt
The Outlier: HTMX
Conclusion: Choosing Your Stack in 2026",1881,9,1,<truncated>,13053,14261930694149681805,
21,https://siliconbased.dev/chmod/644,chmod 644 (rw-r--r--) — Linux File Permissions Explained,text/html; charset=utf-8,false,200,0,true,"What does chmod 644 mean? Owner read/write, others read-only. Interactive permission breakdown, copy-paste commands, security analysis, and common mistakes explained.",chmod 644 — rw-r--r--,"Permission Breakdown
Command
When to use chmod 644
Common Mistake
chmod 644 vs 664
Frequently Asked Questions
Related Permissions",449,7,1,<truncated>,2606,17543414403657469014,https://siliconbased.dev/chmod-calculator
21,https://siliconbased.dev/chmod/755,chmod 755 (rwxr-xr-x) — Linux File Permissions Explained,text/html; charset=utf-8,false,200,0,true,"What does chmod 755 mean? Owner full, others read & execute. Interactive permission breakdown, copy-paste commands, security analysis, and common mistakes explained.",chmod 755 — rwxr-xr-x,"Permission Breakdown
Command
When to use chmod 755
Common Mistake
chmod 755 vs 750
Frequently Asked Questions
Related Permissions",425,7,1,<truncated>,2552,2122111636946284247,https://siliconbased.dev/chmod-calculator
21,https://siliconbased.dev/chmod/700,chmod 700 (rwx------) — Linux File Permissions Explained,text/html; charset=utf-8,false,200,0,true,"What does chmod 700 mean? Owner only — full access, no one else. Interactive permission breakdown, copy-paste commands, security analysis, and common mistakes explained.",chmod 700 — rwx------,"Permission Breakdown
Command
When to use chmod 700
Common Mistake
chmod 700 vs 770
Frequently Asked Questions
Related Permissions",419,7,1,<truncated>,2440,17480967197834933267,https://siliconbased.dev/chmod-calculator
