PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Meta description,H1,H2,No. of content words,No. of internal outlinks,No. of external outlinks,Page text,Extracted text (raw <body>) (length),Text hash,First found at
40,https://westmountfundamentals.com/,Westmount Fundamentals,text/html; charset=utf-8,false,200,0,true,"Westmount Fundamentals — tools, guides, studies, and resources.",Westmount Fundamentals,"Calculators & Tools
Research & Analysis
Guides & Explainers
Lists & Rankings",7347,268,1,<truncated>,47460,14176365094321923479,
22,https://westmountfundamentals.com/stock-split-calculator,Stock Split Calculator & Guide: How Forward and Reverse Splits Work,text/html; charset=utf-8,false,200,0,true,Calculate your new share count and price after a stock split. See how forward and reverse splits impact your portfolio value—and why companies do them.,Stock Split Calculator,"Split Parameters
Post-Split Results
What is a Stock Split?
Forward Splits vs. Reverse Splits
Notable Historical Stock Splits
Do Stock Splits Affect Options Contracts?
Frequently Asked Questions",1592,3,1,<truncated>,9660,3510148832826338275,
22,https://westmountfundamentals.com/stock-comparison-tool,Stock Comparison Tool: Compare Any Two Stocks,text/html; charset=utf-8,false,200,0,true,"Compare any two stocks side-by-side. Analyze P/E, dividend yield, market cap, ROE, revenue growth, and more with our interactive stock comparison tool.",Stock Comparison Tool,"Methodology
Frequently Asked Questions",498,1,1,<truncated>,3207,4116599888287323164,
22,https://westmountfundamentals.com/average-stock-market-return,Average Stock Market Return: S&P 500 Historical Data 1928...,text/html; charset=utf-8,false,200,0,true,"Discover the historical average stock market return. See S&P 500 average returns by 1Y, 5Y, 10Y, 20Y, and 30Y periods, adjusted for inflation and dividends.",Historical Average Stock Market Return,"Trailing S&P 500 Returns (Annualized)
10-Year Rolling Returns
Historical S&P 500 Returns (By Year)
Methodology & Data Sources
Frequently Asked Questions",448,1,1,<truncated>,2935,2563249695825907809,
21,https://westmountfundamentals.com/what-are-growth-stocks,What Are Growth Stocks? Finding the Market's High Flyers,text/html; charset=utf-8,false,200,0,true,"Learn what defines a growth stock, how to identify them, and why they are a crucial component for investors seeking long-term capital appreciation.",What Are Growth Stocks?,"The Defining Characteristics of a Growth Stock
Why Invest in Growth Stocks?
The Risks of Growth Investing
How to Identify Potential Growth Stocks
Conclusion
Frequently Asked Questions",1328,5,1,<truncated>,8688,17080461178552424820,
21,https://westmountfundamentals.com/stock-market-fundamentals-guide,Stock Market Fundamentals: A Complete Guide,text/html; charset=utf-8,false,200,0,true,"Learn the fundamentals of the stock market. Understand what stocks are, how to start investing, and essential metrics to evaluate companies.",Stock Market Fundamentals: A Complete Guide,"What is the Stock Market?
Understanding Stocks and Shares
Key Stock Categories and Classifications
How the Stock Market Works: Exchanges and Indices
Fundamental Concepts for Investors
How to Get Started in the Stock Market
The Importance of Continuous Learning and Discipline
Frequently Asked Questions",2819,9,1,<truncated>,18509,13863495037637520002,
21,https://westmountfundamentals.com/best-canadian-etfs-2026,Best Canadian ETFs in 2026: Complete Guide,text/html; charset=utf-8,false,200,0,true,"The ultimate guide to the best Canadian ETFs in 2026. Compare equity, bond, dividend, international, and REIT ETFs.",Best Canadian ETFs in 2026,"Why Invest in Canadian ETFs in 2026?
Understanding ETF Fees
Frequently Asked Questions",828,9,1,<truncated>,5353,15523697226328948687,
21,https://westmountfundamentals.com/wealthsimple-vs-questrade,Wealthsimple vs Questrade (2026): The Ultimate Comparison,text/html; charset=utf-8,false,200,0,true,"A deep dive comparing Wealthsimple and Questrade. We analyze their fee structures, USD accounts, features, and which platform suits your investing style.",Wealthsimple vs Questrade: The 2026 Showdown,"The Fee Structure: Zero Commission vs Discount Pricing
The USD Problem: How They Handle American Stocks
Platform and Features: Simplicity vs Capability
Account Types Available
The Verdict: Which is Better?",1011,5,1,<truncated>,6593,17435595695443529420,
21,https://westmountfundamentals.com/interactive-brokers-canada,Interactive Brokers Canada (IBKR) Review 2026,text/html; charset=utf-8,false,200,0,true,"An in-depth review of Interactive Brokers Canada. Discover why it's the top choice for active traders, margin users, and those converting CAD to USD.",Interactive Brokers Canada (IBKR): The Professional's Choice,"The Fee Structure: Tiered vs Fixed Pricing
The Ultimate Advantage: Forex Conversion Without Norbert's Gambit
Industry-Leading Margin Rates
The Trading Platform: Power vs Complexity
Account Options and Restrictions
Conclusion: Is IBKR Right for You?",1189,6,1,<truncated>,7683,4038864109970042877,
21,https://westmountfundamentals.com/rrsp-season-checklist,Complete RRSP Season Checklist,text/html; charset=utf-8,false,200,0,true,"Contribution room, deadline, strategies, tax optimization.",Complete RRSP Season Checklist,"Related Guides
Frequently Asked Questions
Complete Checklist Overview
Deep Dive: Maximizing Your RRSP Room
Strategic Timing for Contributions
Navigating Withdrawals and the HBP/LLP
Understanding the Spousal RRSP Advantage
Optimizing Asset Location Within Your RRSP
Preparing for the RRIF Conversion
Advanced Considerations: The RRSP and Estate Planning",1723,9,1,<truncated>,10891,1455607297447185319,
